name,set,collectorNumber,quantity,type,notes,image
Pridestalker,SET3,1,2,Legend,lol,pridestalker.avif
Pridestalker Alt Signed,SET1,2,1,Legend,I don't actually own this but it would be cool if I did,pridestalker-alt-signed.avif
Pridestalker Alt,SET1,3,4,Legend,Fortnite amongus,pridestalker-alt.avif
Rengar Pouncing,SET1,4,1,Unit,,rengar-pouncing.avif
Rengar Trophy Hunter,SET1,5,1,Unit,,rengar-trophy-hunter.avif
Rengar Trophy Hunter Alt,SET1,6,1,Unit,,rengar-trophy-hunter-alt.avif
Rengar Unseen,SET1,7,1,Unit,,rengar-unseen.avif
Rengar Unseen Alt,SET1,8,1,Unit,,rengar-unseen-alt.avif
Thrill of the Hunt,SET1,9,1,Spell,,thrill-of-the-hunt.avif
